Day,bitcoin,ethereum,Cryptocurrency
17-10-09,9.00,1.00,1.00
17-10-08,7.00,1.00,1.00
17-10-07,7.00,1.00,1.00
17-10-06,7.00,1.00,1.00
17-10-05,8.00,1.00,1.00
17-10-04,8.00,1.00,1.00
17-10-03,8.00,1.00,1.00
17-10-02,8.00,1.00,1.00
17-10-01,7.00,1.00,1.00
17-09-30,7.00,1.00,1.00
17-09-29,8.00,1.00,2.00
17-09-28,8.00,1.00,2.00
17-09-27,47.00,6.00,9.00
17-09-26,42.00,7.00,8.00
17-09-25,44.00,7.00,8.00
17-09-24,39.00,6.00,6.00
17-09-23,39.00,6.00,7.00
17-09-22,50.00,7.00,8.00
17-09-21,53.00,7.00,9.00
17-09-20,51.00,7.00,8.00
17-09-19,58.00,9.00,9.00
17-09-18,63.00,10.00,9.00
17-09-17,53.00,6.00,8.00
17-09-16,67.00,7.00,8.00
17-09-15,100.00,11.00,12.00
17-09-14,91.00,11.00,13.00
17-09-13,76.00,10.00,10.00
17-09-12,55.00,8.00,9.00
17-09-11,56.00,8.00,9.00
17-09-10,49.00,7.00,9.00
17-09-09,52.00,7.00,9.00
17-09-08,60.00,9.00,11.00
17-09-07,56.00,9.00,10.00
17-09-06,61.00,9.00,11.00
17-09-05,72.00,12.00,12.00
17-09-04,70.00,14.00,15.00
17-09-03,57.00,10.00,10.00
17-09-02,65.00,13.00,12.00
17-09-01,66.00,11.00,13.00
17-08-31,61.00,12.00,12.00
17-08-30,61.00,12.00,11.00
17-08-29,56.00,12.00,11.00
17-08-28,47.00,9.00,10.00
17-08-27,45.00,8.00,9.00
17-08-26,47.00,7.00,9.00
17-08-25,55.00,9.00,9.00
17-08-24,54.00,9.00,10.00
17-08-23,55.00,10.00,10.00
17-08-22,61.00,10.00,9.00
17-08-21,55.00,12.00,9.00
17-08-20,55.00,8.00,8.00
17-08-19,60.00,8.00,8.00
17-08-18,64.00,9.00,9.00
17-08-17,63.00,10.00,9.00
17-08-16,65.00,10.00,9.00
17-08-15,78.00,11.00,10.00
17-08-14,77.00,12.00,11.00
17-08-13,70.00,12.00,10.00
17-08-12,55.00,9.00,8.00
17-08-11,48.00,10.00,9.00
17-08-10,45.00,10.00,8.00
17-08-09,48.00,11.00,8.00
17-08-08,55.00,11.00,8.00
17-08-07,52.00,10.00,7.00
17-08-06,43.00,9.00,7.00
17-08-05,53.00,8.00,7.00
17-08-04,41.00,7.00,5.00
17-08-03,44.00,7.00,6.00
17-08-02,63.00,9.00,6.00
17-08-01,74.00,11.00,7.00
17-07-31,43.00,8.00,6.00
17-07-30,33.00,7.00,5.00
17-07-29,35.00,9.00,5.00
17-07-28,42.00,10.00,5.00
17-07-27,37.00,9.00,6.00
17-07-26,37.00,9.00,6.00
17-07-25,38.00,9.00,7.00
17-07-24,35.00,9.00,6.00
17-07-23,35.00,9.00,7.00
17-07-22,36.00,9.00,6.00
17-07-21,40.00,11.00,7.00
17-07-20,42.00,13.00,6.00
17-07-19,36.00,13.00,6.00
17-07-18,40.00,14.00,7.00
17-07-17,40.00,13.00,7.00
17-07-16,44.00,16.00,7.00
17-07-15,38.00,10.00,6.00
17-07-14,34.00,11.00,6.00
17-07-13,33.00,12.00,6.00
17-07-12,37.00,14.00,7.00
17-07-11,39.00,19.00,9.00
17-07-10,33.00,15.00,7.00
17-07-09,29.00,9.00,7.00
17-07-08,29.00,11.00,6.00
17-07-07,30.00,12.00,7.00
17-07-06,31.00,11.00,7.00
17-07-05,32.00,12.00,7.00
17-07-04,31.00,11.00,8.00
17-07-03,32.00,12.00,7.00
17-07-02,31.00,11.00,6.00
17-07-01,28.00,11.00,6.00
17-06-30,32.00,12.00,7.00
17-06-29,37.00,15.00,7.00
17-06-28,43.00,17.00,9.00
17-06-27,45.00,20.00,9.00
17-06-26,46.00,29.00,11.00
17-06-25,38.00,20.00,8.00
17-06-24,39.00,17.00,8.00
17-06-23,40.00,21.00,8.00
17-06-22,42.00,26.00,9.00
17-06-21,44.00,27.00,9.00
17-06-20,44.00,20.00,10.00
17-06-19,40.00,17.00,9.00
17-06-18,40.00,16.00,8.00
17-06-17,41.00,17.00,8.00
17-06-16,49.00,20.00,8.00
17-06-15,59.00,29.00,10.00
17-06-14,50.00,28.00,10.00
17-06-13,50.00,30.00,11.00
17-06-12,57.00,36.00,11.00
17-06-11,44.00,25.00,9.00
17-06-10,42.00,21.00,8.00
17-06-09,44.00,15.00,7.00
17-06-08,45.00,15.00,8.00
17-06-07,53.00,17.00,9.00
17-06-06,58.00,18.00,9.00
17-06-05,44.00,15.00,7.00
17-06-04,39.00,13.00,6.00
17-06-03,39.00,10.00,6.00
17-06-02,43.00,12.00,7.00
17-06-01,47.00,16.00,6.00
17-05-31,49.00,18.00,6.00
17-05-30,50.00,16.00,6.00
17-05-29,53.00,12.00,5.00
17-05-28,53.00,11.00,6.00
17-05-27,67.00,14.00,6.00
17-05-26,80.00,16.00,7.00
17-05-25,100.00,22.00,9.00
17-05-24,76.00,21.00,8.00
17-05-23,69.00,17.00,7.00
17-05-22,67.00,22.00,7.00
17-05-21,41.00,10.00,5.00
17-05-20,42.00,8.00,5.00
17-05-19,42.00,9.00,4.00
17-05-18,35.00,4.00,4.00
17-05-17,41.00,4.00,4.00
17-05-16,48.00,4.00,4.00
17-05-15,54.00,5.00,3.00
17-05-14,40.00,4.00,3.00
17-05-13,45.00,4.00,3.00
17-05-12,45.00,4.00,3.00
17-05-11,38.00,5.00,3.00
17-05-10,34.00,5.00,4.00
17-05-09,37.00,7.00,4.00
17-05-08,29.00,7.00,4.00
17-05-07,25.00,5.00,3.00
17-05-06,25.00,5.00,3.00
17-05-05,30.00,8.00,4.00
17-05-04,34.00,7.00,4.00
17-05-03,26.00,5.00,3.00
17-05-02,26.00,6.00,2.00
17-05-01,24.00,8.00,3.00
17-04-30,18.00,6.00,2.00
17-04-29,20.00,5.00,2.00
17-04-28,20.00,5.00,2.00
17-04-27,21.00,4.00,2.00
17-04-26,21.00,3.00,2.00
17-04-25,18.00,3.00,2.00
17-04-24,18.00,3.00,1.00
17-04-23,17.00,2.00,2.00
17-04-22,18.00,2.00,2.00
17-04-21,17.00,2.00,2.00
17-04-20,18.00,2.00,2.00
17-04-19,18.00,3.00,2.00
17-04-18,19.00,3.00,2.00
17-04-17,18.00,2.00,2.00
17-04-16,17.00,2.00,2.00
17-04-15,17.00,2.00,1.00
17-04-14,17.00,3.00,1.00
17-04-13,19.00,3.00,1.00
17-04-12,19.00,2.00,2.00
17-04-11,19.00,2.00,2.00
17-04-10,18.00,2.00,1.00
17-04-09,17.00,2.00,1.00
17-04-08,17.00,2.00,1.00
17-04-07,17.00,2.00,2.00
17-04-06,17.00,2.00,2.00
17-04-05,19.00,3.00,2.00
17-04-04,19.00,3.00,1.00
17-04-03,18.00,3.00,2.00
17-04-02,18.00,3.00,2.00
17-04-01,18.00,2.00,2.00
